mpg,cylinders,displacement
18,8,307
15,8,350
18,8,318
16,8,304
17,8,302
15,8,429
14,8,454
14,8,440
14,8,455
15,8,390
15,8,383
14,8,340
15,8,400
14,8,455
24,4,113
22,6,198
18,6,199
21,6,200
27,4,97
26,4,97
25,4,110
24,4,107
25,4,104
26,4,121
21,6,199
10,8,360
10,8,307
11,8,318
9,8,304
27,4,97
28,4,140
25,4,113
25,4,98
19,6,232
16,6,225
17,6,250
19,6,250
18,6,232
14,8,350
14,8,400
14,8,351
14,8,318
12,8,383
13,8,400
13,8,400
18,6,258
22,4,140
19,6,250
18,6,250
23,4,122
28,4,116
30,4,79
30,4,88
31,4,71
35,4,72
27,4,97
26,4,91
24,4,113
25,4,97.5
23,4,97
20,4,140
21,4,122
13,8,350
14,8,400
15,8,318
14,8,351
17,8,304
11,8,429
13,8,350
12,8,350
13,8,400
19,3,70
15,8,304
13,8,307
13,8,302
14,8,318
18,4,121
22,4,121
21,4,120
26,4,96
22,4,122
28,4,97
23,4,120
28,4,98
27,4,97
13,8,350
14,8,304
13,8,350
14,8,302
15,8,318
12,8,429
13,8,400
13,8,351
14,8,318
13,8,440
12,8,455
13,8,360
18,6,225
16,6,250
18,6,232
18,6,250
23,6,198
26,4,97
11,8,400
12,8,400
13,8,360
12,8,350
18,6,232
20,4,97
21,4,140
22,4,108
18,3,70
19,4,122
21,6,155
26,4,98
15,8,350
16,8,400
29,4,68
24,4,116
20,4,114
19,4,121
15,8,318
24,4,121
20,6,156
11,8,350
20,6,198
21,6,200
19,6,232
15,6,250
31,4,79
26,4,122
32,4,71
25,4,140
16,6,250
16,6,258
18,6,225
16,8,302
13,8,350
14,8,318
14,8,302
14,8,304
29,4,98
26,4,79
26,4,97
31,4,76
32,4,83
28,4,90
24,4,90
26,4,116
24,4,120
26,4,108
31,4,79
19,6,225
18,6,250
15,6,250
15,6,250
16,8,400
15,8,350
16,8,318
14,8,351
17,6,231
16,6,250
15,6,258
18,6,225
21,6,231
20,8,262
13,8,302
29,4,97
23,4,140
20,6,232
23,4,140
24,4,134
25,4,90
24,4,119
18,6,171
29,4,90
19,6,232
23,4,115
23,4,120
22,4,121
25,4,121
33,4,91
28,4,107
25,4,116
25,4,140
26,4,98
27,4,101
17.5,8,305
16,8,318
15.5,8,304
14.5,8,351
22,6,225
22,6,250
24,6,200
22.5,6,232
29,4,85
24.5,4,98
29,4,90
33,4,91
20,6,225
18,6,250
18.5,6,250
17.5,6,258
29.5,4,97
32,4,85
28,4,97
26.5,4,140
20,4,130
13,8,318
19,4,120
19,6,156
16.5,6,168
16.5,8,350
13,8,350
13,8,302
13,8,318
31.5,4,98
30,4,111
36,4,79
25.5,4,122
33.5,4,85
17.5,8,305
17,8,260
15.5,8,318
15,8,302
17.5,6,250
20.5,6,231
19,6,225
18.5,6,250
16,8,400
15.5,8,350
15.5,8,400
16,8,351
29,4,97
24.5,4,151
26,4,97
25.5,4,140
30.5,4,98
33.5,4,98
30,4,97
30.5,4,97
22,6,146
21.5,4,121
21.5,3,80
43.1,4,90
36.1,4,98
32.8,4,78
39.4,4,85
36.1,4,91
19.9,8,260
19.4,8,318
20.2,8,302
19.2,6,231
20.5,6,200
20.2,6,200
25.1,4,140
20.5,6,225
19.4,6,232
20.6,6,231
20.8,6,200
18.6,6,225
18.1,6,258
19.2,8,305
17.7,6,231
18.1,8,302
17.5,8,318
30,4,98
27.5,4,134
27.2,4,119
30.9,4,105
21.1,4,134
23.2,4,156
23.8,4,151
23.9,4,119
20.3,5,131
17,6,163
21.6,4,121
16.2,6,163
31.5,4,89
29.5,4,98
21.5,6,231
19.8,6,200
22.3,4,140
20.2,6,232
20.6,6,225
17,8,305
17.6,8,302
16.5,8,351
18.2,8,318
16.9,8,350
15.5,8,351
19.2,8,267
18.5,8,360
31.9,4,89
34.1,4,86
35.7,4,98
27.4,4,121
25.4,5,183
23,8,350
27.2,4,141
23.9,8,260
34.2,4,105
34.5,4,105
31.8,4,85
37.3,4,91
28.4,4,151
28.8,6,173
26.8,6,173
33.5,4,151
41.5,4,98
38.1,4,89
32.1,4,98
37.2,4,86
28,4,151
26.4,4,140
24.3,4,151
19.1,6,225
34.3,4,97
29.8,4,134
31.3,4,120
37,4,119
32.2,4,108
46.6,4,86
27.9,4,156
40.8,4,85
44.3,4,90
43.4,4,90
36.4,5,121
30,4,146
44.6,4,91
40.9,4,85
33.8,4,97
29.8,4,89
32.7,6,168
23.7,3,70
35,4,122
23.6,4,140
32.4,4,107
27.2,4,135
26.6,4,151
25.8,4,156
23.5,6,173
30,4,135
39.1,4,79
39,4,86
35.1,4,81
32.3,4,97
37,4,85
37.7,4,89
34.1,4,91
34.7,4,105
34.4,4,98
29.9,4,98
33,4,105
34.5,4,100
33.7,4,107
32.4,4,108
32.9,4,119
31.6,4,120
28.1,4,141
30.7,6,145
25.4,6,168
24.2,6,146
22.4,6,231
26.6,8,350
20.2,6,200
17.6,6,225
28,4,112
27,4,112
34,4,112
31,4,112
29,4,135
27,4,151
24,4,140
23,4,151
36,4,105
37,4,91
31,4,91
38,4,105
36,4,98
36,4,120
36,4,107
34,4,108
38,4,91
32,4,91
38,4,91
25,6,181
38,6,262
26,4,156
22,6,232
32,4,144
36,4,135
27,4,151
27,4,140
44,4,97
32,4,135
28,4,120
31,4,119
