traveltime,studytime,failures,G1
2,2,0,5
1,2,0,5
1,2,3,7
1,3,0,15
1,2,0,6
1,2,0,15
1,2,0,12
2,2,0,6
1,2,0,16
1,2,0,14
1,2,0,10
3,3,0,10
1,1,0,14
2,2,0,10
1,3,0,14
1,1,0,14
1,3,0,13
3,2,0,8
1,1,3,6
1,1,0,8
1,2,0,13
1,1,0,12
1,2,0,15
2,2,0,13
1,3,0,10
1,1,2,6
1,1,0,12
1,1,0,15
1,2,0,11
1,2,0,10
1,2,0,9
2,2,0,17
1,2,0,17
1,2,0,8
1,1,0,12
2,1,0,8
1,3,0,15
2,3,0,15
1,3,0,12
1,1,0,14
2,2,1,7
1,1,0,12
1,2,0,19
1,1,0,8
2,2,1,10
1,2,0,8
1,2,0,11
1,4,0,19
1,2,0,15
1,2,1,7
3,2,0,12
1,2,0,11
2,1,1,11
1,1,0,8
1,1,0,10
1,2,0,8
1,2,0,14
1,2,0,14
1,2,0,9
1,2,0,15
1,2,0,10
4,1,0,10
1,2,0,8
1,3,0,10
1,2,0,10
3,2,0,16
1,4,0,13
1,4,0,7
2,2,0,8
2,4,0,16
2,4,0,13
1,4,0,10
1,2,2,8
1,1,0,12
1,2,0,11
1,2,0,9
2,4,0,11
1,4,0,11
2,1,3,8
1,2,0,5
1,1,0,10
1,3,0,11
1,2,0,7
2,2,0,15
1,2,0,9
2,2,2,7
1,2,0,8
1,3,0,13
2,2,1,11
1,2,0,8
1,3,0,7
1,1,0,16
1,2,0,7
2,2,0,11
1,4,0,11
2,4,1,7
2,1,0,11
1,2,0,8
1,1,0,11
1,3,0,7
1,1,0,7
1,3,0,16
1,1,0,10
2,2,0,7
1,2,0,16
1,4,0,10
1,4,0,7
1,3,0,16
4,4,0,10
1,3,0,14
1,1,0,18
1,3,1,7
1,2,1,10
1,1,0,18
1,2,0,9
1,2,0,15
2,2,0,11
2,1,0,13
3,2,1,9
1,1,0,14
1,2,0,16
1,4,0,16
2,2,0,13
1,1,0,14
1,2,0,8
1,1,0,13
1,2,0,7
1,2,3,7
1,1,2,7
1,1,0,18
2,3,2,12
3,1,0,8
1,1,0,10
1,1,0,12
4,2,0,9
1,3,0,11
